id,vendor_id,pickup_datetime,dropoff_datetime,passenger_count,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,store_and_fwd_flag,trip_duration,distance_km,pickup_hour
id3831585,1,2016-06-04 00:57:50,2016-06-04 01:04:13,1,-73.98543548583984,40.748653411865234,-73.9882583618164,40.7317771911621,N,383,1.8885651263523966,0
id0608012,1,2016-06-09 00:18:04,2016-06-09 00:33:47,1,-74.00540924072266,40.727176666259766,-73.98933410644531,40.68871307373047,N,943,4.482777044015349,0
id0333594,2,2016-02-28 00:17:23,2016-02-28 00:19:59,2,-73.99063873291014,40.76626968383789,-73.97850799560547,40.76573181152344,N,156,1.0328397199139063,0
id3443554,2,2016-04-02 00:21:59,2016-04-02 00:25:25,3,-73.967041015625,40.714061737060554,-73.95726013183594,40.72674179077149,N,206,1.6346869200500078,0
id0119839,1,2016-05-24 00:29:03,2016-05-24 00:44:57,1,-74.00125885009764,40.73616409301758,-73.97145080566406,40.79483413696289,N,954,6.987888095253399,0
id0293723,1,2016-05-21 00:19:05,2016-05-21 00:27:37,1,-73.97786712646483,40.72939300537109,-73.99527740478516,40.72746658325195,N,512,1.4952426329294748,0
id2617855,2,2016-06-24 00:47:12,2016-06-24 00:57:40,6,-73.98677825927734,40.740081787109375,-73.96759033203125,40.7605094909668,N,628,2.7931199482114866,0
id0953523,2,2016-06-25 00:50:07,2016-06-25 01:11:47,6,-73.95915222167967,40.77181243896485,-73.89907836914062,40.82561874389648,N,1300,7.857787473917248,0
id2567060,1,2016-06-10 00:10:00,2016-06-10 00:21:59,1,-73.98786926269531,40.74969100952149,-73.9801254272461,40.78057098388672,N,719,3.49030545370868,0
id2871175,1,2016-04-03 00:00:04,2016-04-03 00:09:34,1,-74.00526428222656,40.7330322265625,-74.00110626220702,40.71794128417969,N,570,1.7119742701740834,0
id0554220,2,2016-03-13 00:52:01,2016-03-13 01:22:19,5,-73.99908447265625,40.743106842041016,-73.96124267578125,40.667526245117195,N,1818,8.984932944547525,0
id2552315,2,2016-01-08 00:55:03,2016-01-08 01:18:16,6,-73.99038696289062,40.734649658203125,-73.92243957519531,40.70629119873047,N,1393,6.577636258288506,0
id1435105,2,2016-06-28 00:08:00,2016-06-28 00:18:57,1,-73.9700469970703,40.762710571289055,-73.98496246337889,40.73707962036133,N,657,3.1147361444506783,0
id0116359,2,2016-06-07 00:44:46,2016-06-07 00:47:02,1,-73.95453643798828,40.77861022949219,-73.95050048828125,40.78657913208008,N,136,0.9487427080615195,0
